"ID","No of chains","No of signals"
"COX1_SORBI",0,0
"COX1_SOYBN",0,0
"COX1_STRPU",0,0
"COX1_TETPY",0,0
"COX1_THEP3",0,0
"COX1_TRYBB",0,0
"COX1_WHEAT",0,0
"COX1_XENLA",0,0
"COX1_YEAST",0,0
"COX2_ACHDO",0,0
"COX2_ADABI",0,0
"COX2_AMICA",0,0
"COX2_APIME",0,0
"COX2_ASCSU",0,0
"COX2_ASTPE",0,0
"COX2_ATRSP",0,0
"COX2_BALPH",0,0
"COX2_BOVIN",0,0
"COX2_CAEEL",0,0
"COX2_CERAE",0,0
"COX2_CHICK",0,0
"COX2_CTEFE",0,0
"COX2_CYPCA",0,0
"COX2_DAUCA",0,0
"COX2_DROAI",0,0
"COX2_DROAL",0,0
"COX2_DROAM",0,0
"COX2_DROAT",0,0
"COX2_DROAZ",0,0
"COX2_DROBF",0,0
"COX2_DROLO",0,0
"COX2_DROME",0,0
"COX2_DRONR",0,0
"COX2_DROPS",0,0
"COX2_DROSU",0,0
"COX2_DROYA",0,0
"COX2_EMENI",0,0
"COX2_EXERO",0,0
"COX2_GALME",0,0
"COX2_GEOSD",0,0
"COX2_GOMVA",0,0
"COX2_GORGO",0,0
"COX2_HANSA",1,1
"COX2_HUMAN",0,0
"COX2_HYLSY",0,0
"COX2_KLULA",1,1
"COX2_LASSP",0,0
"COX2_LEITA",0,0
"COX2_LEPOC",0,0
"COX2_LOCMI",0,0
"COX2_MACFA",0,0
"COX2_MAIZE",0,0
"COX2_MARPO",0,0
"COX2_MEGAT",0,0
"COX2_MICPE",0,0
"COX2_MOUSE",0,0
"COX2_NEUCR",0,0
"COX2_OENBE",0,0
"COX2_ONCFA",0,0
"COX2_ORYSA",0,0
"COX2_PANPA",0,0
"COX2_PARDE",1,1
"COX2_PARLI",0,0
"COX2_PARPR",0,0
"COX2_PARTE",0,0
"COX2_PEA",0,0
"COX2_PERAM",0,0
"COX2_PHOVI",0,0
"COX2_PISOC",0,0
"COX2_PNECA",0,0
"COX2_PODAN",0,0
"COX2_POLSX",0,0
"COX2_RAT",0,0
"COX2_SCAPL",0,0
"COX2_SCHGR",0,0
"COX2_SCHPO",0,0
"COX2_SITGR",0,0
"COX2_SOYBN",0,0
"COX2_STRPU",0,0
"COX2_SYMST",0,0
"COX2_TRYBB",0,0
"COX2_WHEAT",0,0
"COX2_XENLA",0,0
"COX2_YEAST",1,1
"COX2_ZOOAN",0,0
"COX3_ASCSU",0,0
"COX3_BALPH",0,0
"COX3_BOVIN",0,0
"COX3_CAEEL",0,0
"COX3_CHICK",0,0
"COX3_CYPCA",0,0
"COX3_DROME",0,0
"COX3_DROYA",0,0
"COX3_EMENI",0,0
"COX3_HUMAN",0,0
"COX3_LEITA",0,0
"COX3_LOCMI",0,0
"COX3_MAIZE",0,0
"COX3_MARPO",0,0
"COX3_MOUSE",0,0
"COX3_NEUCR",0,0
"COX3_OENBE",0,0
"COX3_ONCNE",0,0
"COX3_ORYSA",0,0
"COX3_PARDE",0,0
"COX3_PARLI",0,0
"COX3_PHOVI",0,0
"COX3_PISOC",0,0
"COX3_RAT",0,0
"COX3_SALCL",0,0
"COX3_SCHCO",0,0
"COX3_SCHPO",0,0
"COX3_SOYBN",0,0
"COX3_STRPU",0,0
"COX3_WHEAT",0,0
"COX3_XENLA",0,0
"COX3_YEAST",0,0
"COX5_NEUCR",1,0
"COX6_DICDI",0,0
"COX7_YEAST",0,0
"COX9_YEAST",0,0
"COXX_PARDE",0,0
"COXZ_PARDE",0,0
"COXZ_YEAST",0,0
"CP5A_CANTR",0,0
"CP5B_CANTR",0,0
"CP5C_CANMA",0,0
"CP5E_CANMA",0,0
"CP5F_CANTR",0,0
"CP5G_CANTR",0,0
"CP5H_CANTR",0,0
"CP5I_CANTR",0,0
"CP5J_CANTR",0,0
"CP71_PERAE",0,0
"CPT1_YEAST",0,0
"CPTR_PEA",1,0
"CPTR_SOLTU",1,0
"CPTR_SPIOL",1,0
"CPXA_ECOLI",0,0
"CR1_HUMAN",1,1
"CR2_HUMAN",1,1
"CR2_MOUSE",1,1
"CRB_DROME",1,1
"CREC_ECOLI",0,0
"CRNA_EMENI",0,0
"CRTI_NEUCR",0,0
"CSCB_ECOLI",0,0
"CSG_HALHA",1,1
"CSG_HALVO",1,1
"CSG_METFE",1,1
"CSG_METSC",1,1
"CTL4_HUMAN",1,1
"CTL4_MOUSE",1,1
"CTR_YEAST",0,0
"CVAB_ECOLI",0,0
"CX26_HUMAN",0,0
"CX26_MOUSE",0,0
"CX26_RAT",0,0
"CX30_RAT",0,0
"CX30_XENLA",0,0
"CX31_MOUSE",0,0
"CX31_RAT",0,0
"CX32_ARATH",0,0
"CX32_HUMAN",0,0
"CX32_MOUSE",0,0
"CX32_RAT",0,0
"CX33_RAT",0,0
"CX37_MOUSE",0,0
"CX38_XENLA",0,0
"CX40_MOUSE",0,0
"CX40_RAT",0,0
"CX42_CHICK",0,0
"CX43_BOVIN",0,0
"CX43_CHICK",0,0
"CX43_HUMAN",0,0
"CX43_MOUSE",0,0
"CX43_RAT",0,0
"CX43_XENLA",0,0
"CX45_CANFA",0,0
"CX45_CHICK",0,0
"CX45_MOUSE",0,0
"CX46_RAT",0,0
"CX50_MOUSE",0,0
"CX56_CHICK",0,0
"CY1_BOVIN",0,0
"CY1_EUGGR",0,0
"CY1_HUMAN",1,0
"CY1_NEUCR",1,0
"CY1_PARDE",1,1
"CY1_RHOCA",1,1
"CY1_RHORU",1,1
"CY1_RHOSH",1,1
"CY1_YEAST",1,0
"CY11_SOLTU",1,0
"CY12_SOLTU",1,0
"CY14_NEUCR",0,0
"CYA1_BOVIN",0,0
"CYA2_RAT",0,0
"CYA3_RAT",0,0
"CYA4_RAT",0,0
"CYB_ACITR",0,0
"CYB_AKOAN",0,0
"CYB_AKOBO",0,0
"CYB_AKOJE",0,0
"CYB_AKOJU",0,0
"CYB_AKOKO",0,0
"CYB_AKOMO",0,0
"CYB_AKOPU",0,0
"CYB_AKOSU",0,0
"CYB_AKOTO",0,0
"CYB_AMBMA",0,0
"CYB_AMICA",0,0
"CYB_AMPST",0,0
"CYB_ANTAM",0,0
"CYB_ASCSU",0,0
"CYB_ATRSP",0,0
"CYB_BALPH",0,0
"CYB_BOLAM",0,0
"CYB_BOVIN",0,0
"CYB_CAEEL",0,0
"CYB_CAMDR",0,0
"CYB_CAPHI",0,0
"CYB_CATGU",0,0
"CYB_CHICK",0,0
"CYB_CHLRE",0,0
"CYB_CHLSM",0,0
"CYB_CICCE",0,0
"CYB_CICNI",0,0
"CYB_COLRU",0,0
"CYB_CORME",0,0
"CYB_CYPCA",0,0
"CYB_DAMDA",0,0
"CYB_DICBI",0,0
"CYB_DIPCA",0,0
"CYB_DIPHE",0,0
"CYB_DIPPA",0,0
"CYB_DROME",0,0
"CYB_DROYA",0,0
"CYB_EMENI",0,0
"CYB_EPIAL",0,0
"CYB_EQUGR",0,0
"CYB_GEOSD",0,0
"CYB_GIRCA",0,0
"CYB_GOMVA",0,0
"CYB_GYMTI",0,0
"CYB_HUMAN",0,0
"CYB_JULRE",0,0
"CYB_LEITA",0,0
"CYB_LEPOC",0,0
"CYB_LOXAF",0,0
"CYB_MAIZE",0,0
"CYB_MARPO",0,0
"CYB_MEGAT",0,0
"CYB_MICMI",0,0
"CYB_MOUSE",0,0
"CYB_NEUCR",0,0
"CYB_ODOHE",0,0
"CYB_OENBE",0,0
"CYB_ORYSA",0,0
"CYB_PARDE",0,0
"CYB_PARIN",0,0
"CYB_PARLI",0,0
"CYB_PARTE",0,0
"CYB_PHOVI",0,0
"CYB_PIG",0,0
"CYB_PITSO",0,0
"CYB_POLSX",0,0
"CYB_POMIS",0,0
"CYB_POMNI",0,0
"CYB_POMRU",0,0
"CYB_POMSU",0,0
"CYB_POMTE",0,0
"CYB_PTIPL",0,0
"CYB_RANCA",0,0
"CYB_RAT",0,0
"CYB_RHOCA",0,0
"CYB_RHORU",0,0
"CYB_RHOSH",0,0
"CYB_SALTR",0,0
"CYB_SCAPL",0,0
"CYB_SCHPO",0,0
"CYB_SCYMA",0,0
"CYB_SHEEP",0,0
"CYB_SOLTU",0,0
"CYB_STEAT",0,0
"CYB_STRPU",0,0
"CYB_TAYTA",0,0
"CYB_THOTO",0,0
"CYB_THRDO",0,0
"CYB_TRANA",0,0
"CYB_TRYBB",0,0
"CYB_VICFA",0,0
"CYB_WHEAT",0,0
"CYB_XENLA",0,0
"CYB_YEAST",0,0
"CYB5_BOVIN",0,0
"CYB5_CHICK",0,0
"CYB5_HORSE",0,0
"CYB5_HUMAN",0,0
"CYB5_PIG",0,0
"CYB5_RABIT",0,0
"CYB5_RAT",0,0
"CYB6_CHLPR",0,0
"CYB6_CHLRE",0,0
"CYB6_MAIZE",0,0
"CYB6_MARPO",0,0
"CYB6_NOSSP",0,0
"CYB6_ORYSA",0,0
"CYB6_PROHO",0,0
"CYB6_SPIOL",0,0
"CYB6_SYNP2",0,0
"CYB6_TOBAC",0,0
"CYB6_WHEAT",0,0
"CYBA_STELO",0,0
"CYBB_STELO",0,0
"CYCM_BRAJA",0,0
"CYDA_ECOLI",0,0
"CYDB_ECOLI",0,0
"CYF_CHLRE",1,0
"CYF_MARPO",1,0
"CYF_OENHO",1,0
"CYF_ORYSA",1,0
"CYF_PEA",1,0
"CYF_SPIOL",1,0
"CYF_TOBAC",1,0
"CYF_VICFA",1,0
"CYF_WHEAT",1,0
"CYGR_ARBPU",1,1
"CYGS_STRPU",1,1
"CYL3_STOHE",0,0
"CYM5_RAT",0,0
"CYOA_ECOLI",0,0
"CYOB_ECOLI",0,0
"CYOC_ECOLI",0,0
"CYOD_ECOLI",0,0
"CYOE_ECOLI",0,0
"CYPR_CALVI",1,1
"CYPR_DROME",1,1
"CYPR_YEAST",1,1
"CYST_ECOLI",0,0
"CYST_SYNP7",0,0
"CYST_SYNY3",0,0
"CYSW_ECOLI",0,0
"CYSW_SYNP7",0,0
"D2DR_BOVIN",0,0
"D2DR_HUMAN",0,0
"D2DR_RAT",0,0
"D2DR_XENLA",0,0
"D3DR_MOUSE",0,0
"D3DR_RAT",0,0
"D4DR_HUMAN",0,0
"D4DR_RAT",0,0
"D5DR_HUMAN",0,0
"DADR_HUMAN",0,0
"DADR_RAT",0,0
"DAF1_CAEEL",1,1
"DAL5_YEAST",0,0
"DAP2_YEAST",0,0
"DBDR_RAT",0,0
"DCIB_BACSU",0,0
"DCIC_BACSU",0,0
"DCOB_KLEPN",0,0
"DCOG_KLEPN",0,0
"DCTA_RHILE",0,0
"DCTA_RHIME",0,0
"DCTB_RHILE",0,0
"DCTB_RHIME",0,0
"DEG1_CAEEL",0,0
"DHG_ECOLI",1,1
"DHG_GLUOX",1,1
"DHGA_ACICA",1,1
"DHSC_BACSU",0,0
"DIVB_BACSU",0,0
"DMSC_ECOLI",0,0
"DPM1_YEAST",0,0
"DPP4_HUMAN",2,0
"DPP4_RAT",2,0
"DPTP_DROME",1,1
"DSBB_ECOLI",0,0
"DTCM_MOUSE",0,0
"E2_HUMAN",1,1
"E310_ADE02",1,1
"E310_ADE03",1,1
"E310_ADE05",1,1
"E310_ADE07",1,1
"E311_ADE02",0,0
"E311_ADE05",0,0
"E315_ADE02",1,1
"E315_ADE03",1,1
"E315_ADE05",1,1
"E315_ADE07",1,1
"E3GL_ADE02",0,0
"E3GL_ADE03",0,0
"E3GL_ADE05",0,0
"E3GL_ADE35",0,0
"E3GL_ADEM1",0,0
"EAR_EBV",0,0
"EBR_STAAU",0,0
"ECTO_RAT",1,1
"EDG1_HUMAN",0,0
"EGF_HUMAN",1,1
"EGF_MOUSE",1,1
"EGFR_CHICK",1,1
"EGFR_DROME",0,0
"EGFR_HUMAN",1,1
"EGLN_HUMAN",1,1
"ELFT_HUMAN",0,0
"ELI_PEA",1,0
"ELI5_HORVU",1,0
"ELI6_HORVU",1,0
"ELI9_HORVU",1,0
"EMRB_ECOLI",0,0
"ENDR_BOVIN",1,1
"ENV_BAEVM",2,1
"ENV_BIV06",2,1
"ENV_BIV27",2,1
"ENV_BLVAF",2,1
"ENV_BLVAU",2,1
"ENV_BLVAV",2,1
"ENV_BLVB2",2,1
"ENV_BLVB5",2,1
"ENV_BLVJ",2,1
"ENV_EIAV1",2,1
"ENV_EIAV2",2,1
"ENV_EIAV3",2,1
"ENV_EIAV5",2,1
"ENV_EIAV9",2,1
"ENV_EIAVW",2,1
"ENV_EIAVY",2,1
"ENV_FIVPE",2,1
"ENV_FIVSD",2,1
"ENV_FOAMV",0,0
"ENV_GALV",2,1
"ENV_HIV10",2,1
"ENV_HIV13",1,1
"ENV_HIV14",2,1
"ENV_HIV16",2,1
"ENV_HIV18",2,1
"ENV_HIV1A",2,1
"ENV_HIV1B",2,1
"ENV_HIV1C",2,1
"ENV_HIV1D",2,1
"ENV_HIV1E",2,1
"ENV_HIV1F",2,1
"ENV_HIV1G",2,1
"ENV_HIV1H",2,1
"ENV_HIV1I",2,1
"ENV_HIV1J",2,1
"ENV_HIV1K",2,1
"ENV_HIV1L",2,1
"ENV_HIV1M",2,1
"ENV_HIV1N",1,1
"ENV_HIV1O",2,1
"ENV_HIV1P",2,1
"ENV_HIV1R",2,1
"ENV_HIV1S",2,1
"ENV_HIV1V",2,1
"ENV_HIV1W",2,1
"ENV_HIV1X",2,1
"ENV_HIV1Y",2,1
"ENV_HIV1Z",2,1
"ENV_HIV21",2,1
"ENV_HIV2B",2,1
"ENV_HIV2C",2,1
"ENV_HIV2D",1,1
"ENV_HIV2G",2,1
"ENV_HIV2I",2,1
"ENV_HIV2N",2,1
"ENV_HIV2R",2,1
"ENV_HIV2S",2,1
"ENV_HTL1A",2,1
"ENV_HTL1C",2,1
"ENV_HTL1M",2,1
"ENV_HTLV2",2,1
"ENV_MLVF5",2,1
"ENV_MLVFF",2,1
"ENV_MLVFP",2,1
"ENV_MLVHO",2,1
"ENV_OMVVS",2,0
"ENV_SFV1",0,0
"ENV_SFV3L",0,0
"ENV_SIVA1",2,1
"ENV_SIVAG",2,1
"ENV_SIVAT",2,1
"ENV_SIVCZ",2,1
"ENV_SIVGB",0,0
"ENV_SIVM1",2,1
"ENV_SIVM2",2,0
"ENV_SIVMK",2,1
"ENV_SIVML",3,1
"ENV_SIVS4",0,0
"ENV_SIVSP",0,0
"ENV_SMRVH",2,1
"ENV_VILV",2,0
"ENV_VILV1",2,0
"ENV_VILV2",2,0
"ENVD_ECOLI",0,0
"ENVZ_ECOLI",0,0
"ENVZ_SALTY",0,0
"EPIA_HUMAN",1,1
"EPIB_HUMAN",1,1
"EPOR_HUMAN",1,1
"EPOR_MOUSE",1,1
"EPT1_YEAST",0,0
"ERB2_HUMAN",1,1
"ERB3_HUMAN",1,1
"ERD1_YEAST",0,0
"ERD2_HUMAN",0,0
"ERD2_KLULA",0,0
"ERD2_YEAST",0,0
"ERG9_YEAST",0,0
"ERS1_YEAST",0,0
"ET1B_BOVIN",1,1
"ET1R_BOVIN",1,1
"ET1R_HUMAN",1,1
"ET1R_RAT",1,1
"ETBR_HUMAN",1,1
"ETBR_RAT",1,1
"EVI2_HUMAN",1,1
"EVI2_MOUSE",1,1
"EXBB_ECOLI",0,0
"EXBB_SALTY",0,0
"EXBD_ECOLI",0,0
"EXOY_RHISN",0,0
"EXP1_PLAFA",1,1
"FADL_ECOLI",1,1
"FASA_HUMAN",1,1
"FASA_MOUSE",1,1
"FCAR_HUMAN",1,1
"FCE1_RAT",1,1
"FCE2_HUMAN",2,0
"FCE2_MOUSE",0,0
"FCE2_RAT",1,1
"FCEA_HUMAN",1,1
"FCEA_MOUSE",1,1
"FCEB_HUMAN",0,0
"FCEB_MOUSE",0,0
"FCEB_RAT",0,0
"FCEG_HUMAN",1,1
"FCEG_MOUSE",1,1
"FCEG_RAT",1,1
"FCG0_HUMAN",1,1
"FCG1_HUMAN",1,1
"FCG1_MOUSE",1,1
"FCG2_HUMAN",1,1
"FCG2_MOUSE",1,1
"FCG3_HUMAN",1,1
"FCG3_MOUSE",1,1
"FCG3_RAT",1,1
"FCGN_RAT",1,1
"FCGX_MOUSE",1,1
"FCN3_DROME",1,1
"FCY2_YEAST",0,0
"FDNH_ECOLI",0,0
"FDNI_ECOLI",0,0
"FEPD_ECOLI",0,0
"FEPG_ECOLI",0,0
"FGR1_CHICK",1,1
"FGR1_HUMAN",1,1
"FGR1_MOUSE",1,1
"FGR1_XENLA",1,1
"FGR2_HUMAN",1,1
"FGR3_HUMAN",1,1
"FGR4_HUMAN",1,1
"FIXG_RHIME",0,0
"FIXH_RHIME",0,0
"FIXI_RHIME",0,0
"FIXL_AZOCA",0,0
"FIXL_BRAJA",0,0
"FIXL_RHIME",0,0
"FIXS_RHIME",0,0
"FLAP_HORSE",0,0
"FLAP_HUMAN",0,0
"FLAP_MACMU",0,0
"FLAP_MOUSE",0,0
"FLAP_PIG",0,0
"FLAP_RABIT",0,0
"FLAP_RAT",0,0
"FLAP_SHEEP",0,0
"FLK2_MOUSE",1,1
"FLMA_ECOLI",0,0
"FM1_ACTVI",1,1
"FM2_ACTNA",1,1
"FML1_HUMAN",0,0
"FML2_HUMAN",0,0
"FMLR_HUMAN",0,0
"FMOH_PIG",0,0
"FMOH_RABIT",0,0
"FMOL_RABIT",0,0
"FNBA_STAAU",1,1
"FPS1_YEAST",0,0
"FRDC_ECOLI",0,0
"FRDC_PROVU",0,0
"FRDC_WOLSU",0,0
"FRDD_ECOLI",0,0
"FRDD_PROVU",0,0
"FRIZ_DROME",1,1
"FSH_DROME",0,0
"FSHR_HUMAN",1,1
"FSHR_RAT",1,1
"FTSL_ECOLI",0,0
"FUR1_XENLA",1,1
"FUR2_DROME",1,1
"FUR4_YEAST",0,0
"FURI_HUMAN",1,1
"FURI_MOUSE",1,1
"FURI_RAT",1,1
"FURL_DROME",1,1
"FURS_DROME",1,1
"FUS1_YEAST",0,0
"G24A_DICDI",0,0
"G24B_DICDI",0,0
"G25L_CANFA",1,1
"G2LF_HUMAN",0,0
"G731_HUMAN",1,1
"G732_HUMAN",1,1
"GAA1_BOVIN",1,1
"GAA1_CHICK",1,1
"GAA1_HUMAN",1,1
"GAA1_RAT",1,1
"GAA2_BOVIN",1,1
"GAA2_MOUSE",1,1
"GAA2_RAT",1,1
"GAA3_BOVIN",1,1
"GAA3_MOUSE",1,1
"GAA3_RAT",1,1
"GAA4_BOVIN",1,1
"GAA4_RAT",1,1
"GAA5_RAT",1,1
"GAA6_MOUSE",1,1
"GAA6_RAT",1,1
"GAB_DROME",1,1
"GAB_LYMST",1,1
"GAB1_BOVIN",1,1
"GAB1_HUMAN",1,1
"GAB1_RAT",1,1
"GAB2_RAT",1,1
"GAB3_CHICK",1,1
"GAB3_HUMAN",1,1
"GAB3_RAT",1,1
"GAB4_CHICK",1,1
"GABP_ECOLI",0,0
"GAC1_RAT",1,1
"GAC2_BOVIN",1,1
"GAC2_CHICK",1,1
"GAC2_HUMAN",1,1
"GAC2_MOUSE",1,1
"GAC2_RAT",1,1
"GAC3_MOUSE",1,1
"GAC3_RAT",1,1
"GAD_MOUSE",1,1
"GAD_RAT",1,1
"GAL2_YEAST",0,0
"GAP1_YEAST",0,0
"GAR1_HUMAN",1,1
"GAR2_HUMAN",0,0
"GASR_CANFA",0,0
"GASR_RAT",0,0
"GATR_BOVIN",0,0
"GATR_MOUSE",0,0
"GC1M_MOUSE",0,0
"GC3_MOUSE",0,0
"GC3M_MOUSE",0,0
"GCAM_MOUSE",0,0
"GCBM_MOUSE",0,0
"GCRB_RAT",0,0
"GCRC_MOUSE",1,1
"GCRT_RAT",0,0
"GEF_ECOLI",0,0
"GENA_ECOLI",0,0
"GENF_ECOLI",0,0
"GER1_BACSU",0,0
"GER2_BACSU",0,0
"GFT_HUMAN",0,0
"GGLO_RAT",0,0
"GGNT_HUMAN",0,0
"GGNT_MOUSE",0,0
"GGNT_RABIT",0,0
"GGT_HUMAN",2,0
"GGT_PIG",2,0
"GGT_RAT",2,0
"GHR_HUMAN",1,1
"GHR_PIG",1,1
"GHR_RABIT",1,1
"GHR_RAT",1,1
"GHRH_MOUSE",1,1
"GLCP_SYNY3",0,0
"GLF_ZYMMO",0,0
"GLGP_RAT",1,1
"GLP_CANFA",0,0
"GLP_HORSE",0,0
"GLP_MACFU",0,0
"GLP_MOUSE",0,0
"GLP_PIG",0,0
"GLP1_CAEEL",1,1
"GLPA_HUMAN",1,1
"GLPB_HUMAN",1,1
"GLPC_HUMAN",0,0
"GLPE_HUMAN",1,1
"GLPF_BACSU",0,0
"GLPF_ECOLI",0,0
"GLPR_RAT",1,1
"GLPT_ECOLI",0,0
"GLRA_MOUSE",1,1
"GLRA_RAT",1,1
"GLRB_MOUSE",1,1
"GLRB_RAT",1,1
"GLRC_RAT",1,1
"GLRD_RAT",1,1
"GLRE_RAT",1,1
"GLRK_CHICK",1,1
"GLRK_LYMST",1,1
"GLRK_RANPI",1,1
"GLTF_ECOLI",1,1
"GLTP_ECOLI",0,0
"GLTP_RAT",0,0
"GLTS_ECOLI",0,0
"GLTT_BACCA",0,0
"GLTT_BACST",0,0
"GMCR_HUMAN",1,1
"GNTP_BACSU",0,0
"GP1A_HUMAN",1,1
"GP1B_HUMAN",1,1
"GP21_RAT",1,1
"GP34_HUMAN",0,0
"GPIX_HUMAN",1,1
"GPT_CRILO",0,0
"GPT_YEAST",0,0
"GRA1_HUMAN",1,1
"GRA1_RAT",1,1
"GRA2_HUMAN",1,1
"GRA2_RAT",1,1
"GRA3_RAT",1,1
"GRB_RAT",1,1
"GRPR_HUMAN",0,0
"GRPR_MOUSE",0,0
"GTR1_BOVIN",0,0
"GTR1_HUMAN",0,0
"GTR1_MOUSE",0,0
"GTR1_PIG",0,0
"GTR1_RABIT",0,0
"GTR1_RAT",0,0
"GTR2_HUMAN",0,0
"GTR2_MOUSE",0,0
"GTR2_RAT",0,0
"GTR3_CHICK",0,0
"GTR3_HUMAN",0,0
"GTR4_HUMAN",0,0
"GTR4_MOUSE",0,0
"GTR4_RAT",0,0
"GTR5_HUMAN",0,0
"GTR7_RAT",0,0
"GYLA_STRCO",0,0
"HA10_MOUSE",1,1
"HA11_MOUSE",1,1
"HA11_RAT",1,1
"HA12_MOUSE",1,1
"HA12_RAT",1,1
"HA13_MOUSE",1,1
"HA14_MOUSE",1,1
"HA15_MOUSE",1,1
"HA17_MOUSE",1,1
"HA18_MOUSE",1,1
"HA19_CANFA",1,1
"HA19_MOUSE",1,1
"HA1A_BOVIN",1,1
"HA1A_RABIT",1,1
"HA1B_BOVIN",1,1
"HA1B_MOUSE",1,1
"HA1B_RABIT",1,1
"HA1D_MOUSE",1,1
"HA1F_CHICK",1,1
"HA1K_MOUSE",1,1
"HA1L_MOUSE",1,1
"HA1Q_MOUSE",0,0
"HA1T_MOUSE",1,1
"HA1U_MOUSE",1,1
"HA1W_MOUSE",1,1
"HA1Y_MOUSE",0,0
"HA1Z_MOUSE",0,0
"HA21_HUMAN",1,1
"HA21_MOUSE",1,1
"HA22_HUMAN",1,1
"HA22_MOUSE",1,1
"HA23_HUMAN",1,1
"HA23_MOUSE",0,0
"HA24_HUMAN",1,1
"HA25_HUMAN",1,1
"HA26_HUMAN",1,1
"HA27_HUMAN",1,1
"HA2B_MOUSE",1,1
"HA2B_RAT",1,1
"HA2C_PIG",1,1
"HA2D_MOUSE",1,1
"HA2D_PIG",1,1
"HA2F_MOUSE",0,0
"HA2J_MOUSE",1,1
"HA2K_MOUSE",1,1
"HA2P_HUMAN",1,1
"HA2P_RABIT",0,0
"HA2Q_HUMAN",1,1
"HA2Q_MOUSE",0,0
"HA2R_HUMAN",1,1
"HA2R_MOUSE",0,0
"HA2S_MOUSE",0,0
"HA2U_MOUSE",0,0
"HA2Z_HUMAN",1,1
"HAM1_MOUSE",0,0
"HB15_HUMAN",1,1
"HB21_HUMAN",1,1
"HB21_MOUSE",1,1
"HB21_SPAEH",1,1
"HB22_HUMAN",1,1
"HB22_MOUSE",1,1
"HB23_HUMAN",1,1
"HB23_MOUSE",0,0
"HB24_HUMAN",1,1
"HB24_MOUSE",1,1
"HB25_HUMAN",0,0
"HB2A_HUMAN",1,1
"HB2A_MOUSE",1,1
"HB2A_RAT",0,0
"HB2B_HUMAN",0,0
"HB2B_RAT",1,1
"HB2C_HUMAN",0,0
"HB2C_PIG",1,1
"HB2D_CANFA",1,1
"HB2D_HUMAN",1,1
"HB2D_MOUSE",1,1
"HB2D_PIG",1,1
"HB2D_RAT",1,1
"HB2E_HUMAN",1,1
"HB2F_HUMAN",1,1
"HB2F_MOUSE",1,1
"HB2G_HUMAN",0,0
"HB2H_HUMAN",1,1
"HB2I_HUMAN",1,1
"HB2I_MOUSE",1,1
"HB2J_HUMAN",1,1
"HB2J_MOUSE",1,1
"HB2K_HUMAN",1,1
"HB2K_MOUSE",1,1
"HB2L_CHICK",0,0
"HB2O_HUMAN",1,1
"HB2O_PANTR",1,1
"HB2P_HUMAN",1,1
"HB2P_RABIT",1,1
"HB2Q_HUMAN",1,1
"HB2Q_MOUSE",1,1
"HB2S_HUMAN",0,0
"HB2S_MOUSE",1,1
"HB2T_HUMAN",0,0
"HB2U_MOUSE",1,1
"HB2X_HUMAN",1,1
"HBP_AEGCR",1,1
"HBP_MARPO",0,0
"HBP_ORYSA",1,1
"HBP_PEA",1,1
"HBP_TOBAC",1,1
"HBP_VICFA",0,0
"HEMA_CDVO",0,0
"HEMA_MEASE",0,0
"HEMA_MEASH",0,0
"HEMA_MEASI",0,0
"HEMA_MEASY",0,0
"HEMA_MUMPM",0,0
"HEMA_MUMPR",0,0
"HEMA_MUMPS",0,0
"HEMA_NDVA",0,0
"HEMA_NDVB",0,0
"HEMA_NDVD",0,0
"HEMA_NDVH",0,0
"HEMA_NDVI",0,0
"HEMA_NDVM",0,0
"HEMA_NDVQ",0,0
"HEMA_NDVTG",0,0
"HEMA_NDVU",0,0
"HEMA_PHODV",0,0
"HEMA_PI1HW",0,0
"HEMA_PI2H",0,0
"HEMA_PI2HT",0,0
"HEMA_PI3B",0,0
"HEMA_PI3H4",0,0
"HEMA_PI3HA",0,0
"HEMA_PI3HT",0,0
"HEMA_PI3HU",0,0
"HEMA_PI3HV",0,0
"HEMA_PI3HW",0,0
"HEMA_PI3HX",0,0
"HEMA_PI4HA",0,0
"HEMA_RACVI",1,1
"HEMA_RINDK",0,0
"HEMA_RINDL",0,0
"HEMA_SEND5",0,0
"HEMA_SENDF",0,0
"HEMA_SENDH",0,0
"HEMA_SENDJ",0,0
"HEMA_SENDZ",0,0
"HEMA_SV41",0,0
"HEMA_SV5",0,0
"HEMA_SV5CM",0,0
"HEMA_SV5CP",0,0
"HEMA_SV5LN",0,0
"HEMA_VACCC",1,1
"HEMA_VACCI",1,1
"HEMA_VACCT",1,1
"HEMA_VACCV",1,1
"HEPS_HUMAN",2,0
"HG2A_HUMAN",0,0
"HG2A_MOUSE",0,0
"HG2A_RAT",0,0
"HH1R_BOVIN",0,0
"HH2R_CANFA",0,0
"HH2R_HUMAN",0,0
"HH2R_RAT",0,0
"HIP1_YEAST",0,0
"HISM_ECOLI",0,0
"HISM_SALTY",0,0
"HISQ_SALTY",0,0
"HLAE_HUMAN",1,1
"HLAE_PONPY",1,1
"HLAF_HUMAN",1,1
"HLAG_HUMAN",1,1
"HLAH_HUMAN",1,1
"HLD_STAAU",1,0
"HLY2_ECOLI",0,0
"HLYB_ACTPL",0,0
"HLYB_ECOLI",0,0
"HLYB_PROMI",1,1
"HLYB_PROVU",0,0
"HLYB_SERMA",1,1
"HLYB_VIBCH",1,1
"HMD1_HEVBR",0,0
"HMD1_YEAST",0,0
"HMD2_HEVBR",0,0
"HMD2_YEAST",0,0
"HMD3_HEVBR",0,0
